timestamp,cpu_energy_consumed,gpu_energy_consumed,ram_energy_consumed,total_consumption
2023-06-27 20:26:49.260273,0.00937773998081684,0.0062981730802710864,0.00015976607135970549,0.015835679132447635
2023-06-27 20:31:52.031658,0.018839326918125152,0.012613630276774037,0.0003263684372312671,0.031779325632130456
2023-06-27 20:36:52.029843,0.028214261256158352,0.018900337444704773,0.0004865115955264474,0.04760111029638957
2023-06-27 20:41:54.520535,0.03766708738356829,0.025276922474706174,0.000653014633670424,0.06359702449194489
2023-06-27 20:46:54.986290,0.04705663382261992,0.031566886399784354,0.0008184862968883644,0.07944200651929263
2023-06-27 20:51:57.602864,0.056513389237225056,0.03792467412398365,0.0009857222522488595,0.09542378561345757
2023-06-27 20:56:57.596367,0.06588817694038153,0.044227339040274885,0.0011461605239824033,0.11126167650463882
2023-06-27 21:01:59.610010,0.07532609508186579,0.05054316616724643,0.001290182515016014,0.12715944376412824
2023-06-27 21:06:59.632767,0.0847017979323864,0.05679479445747051,0.001433257089414155,0.14292984947927106
2023-06-27 21:11:58.533680,0.09404244263470173,0.06304554847752829,0.001576518825519031,0.15866450993774905
2023-06-27 21:17:00.734276,0.10348620279878377,0.06936528918371532,0.0017205931199096194,0.1745720851024087
2023-06-27 21:22:00.214266,0.112844936452806,0.07563456837715307,0.0018634286458919856,0.19034293347585104
2023-06-27 21:26:58.687141,0.12217220406234264,0.0818828192828324,0.0020230718046712406,0.20607809514984626
2023-06-27 21:31:58.685117,0.13154713317751884,0.08817907229997939,0.002183556578738389,0.2219097620562366
2023-06-27 21:36:58.696981,0.1409224555119872,0.09443693920294668,0.002354299211325931,0.2377136939262598
2023-06-27 21:41:59.832878,0.15033293990790844,0.10078494491670396,0.0025206614237194497,0.2536385462483318
2023-06-27 21:46:59.866674,0.15970898713171483,0.10704331141042378,0.002681146624602541,0.26943344516674106
2023-06-27 21:52:02.795506,0.16917550083994867,0.11340767400154975,0.0028480750462037026,0.28543124988770197
2023-06-27 21:57:02.877140,0.1785530391931534,0.1196734377173943,0.0030139229194881597,0.30124039983003564
2023-06-27 22:02:04.483405,0.18797822705656292,0.12597104903725292,0.003180261244927733,0.31712953733874333
2023-06-27 22:07:04.485803,0.1973532945737243,0.13222876262397196,0.0033407664519279467,0.332922823649624
2023-06-27 22:12:04.488186,0.20672835483402016,0.13849287156161394,0.0035012786696785422,0.34872250506531244
2023-06-27 22:17:04.488794,0.2161033659130335,0.14475695986387657,0.0036617978293164094,0.36452212360622627
2023-06-27 22:22:04.679445,0.2254843152537942,0.1510186016945625,0.0038272581194286736,0.3803301750677852
2023-06-27 22:27:04.685123,0.23485948370397092,0.15728279167522993,0.003998166872325232,0.3961404422515259
2023-06-27 22:32:07.293277,0.24431598068773747,0.16359486109887275,0.004164960129120388,0.4120758019157304
2023-06-27 22:37:08.110788,0.2537165194153786,0.16986956571959025,0.004330774291446968,0.4279168594264156
2023-06-27 22:42:09.951501,0.2631490322723985,0.1761948619601088,0.00449727490247577,0.44384116913498284
2023-06-27 22:47:09.954230,0.27252410930395127,0.18245257370671458,0.00465781272134681,0.4596344957320124
2023-06-27 22:52:12.232569,0.28197028939425944,0.18880937155980376,0.0048428451002089715,0.4756225060542719
2023-06-27 22:57:09.956124,0.29127414228767157,0.19502590636963396,0.00500214835402928,0.49130219701133454
2023-06-27 22:57:45.873038,0.29239653757959605,0.19577765109860318,0.0050125821859204524,0.49318677086411944
